"source","r_nominal","C_nominal","M","Q","C_effective","r_effective","phi","N","b","C_opt","coverage","coverage_error","coverage_mcse","convex_failure_rate","theoretical_delta","theoretical_coverage","normalized_error","normalized_theory","oracle_minus_grid_coverage","paired_mcse","normalized_paired_loss","normalized_paired_theory"
"relative grid",1.9,1.00138792571999,23,22,1.01646599795566,1.92860863059357,0.2,512,0.416666666666667,0.52704627669473,0.93093,-0.0190699999999999,0.000801868661939098,0,1.93461597153439,0.940206097842245,2.38242751682663,1.22355857355763,0.00694,0.000539000249733423,0.867018718761243,0.22355857355763
"relative grid",2,1.05409255338946,24,21,1.06066017177982,2.01246117974981,0.2,512,0.416666666666667,0.52704627669473,0.93005,-0.0199499999999999,0.000806579180861991,1e-05,1.98382735832892,0.939956967516431,2.49236648981077,1.25468258737488,0.00782,0.000513411250277123,0.976957691745378,0.254682587374882
"C = 1",1.89736659610103,1,23,22,1.01646599795566,1.92860863059357,0.2,512,0.416666666666667,0.52704627669473,0.93093,-0.0190699999999999,0.000801868661939098,0,1.93461597153439,0.940206097842245,2.38242751682663,1.22355857355763,0.00694,0.000539000249733423,0.867018718761243,0.22355857355763
"relative grid",0.5,0.263523138347365,8,128,0.25,0.474341649025257,0.2,1024,0.416666666666667,0.52704627669473,0.94181,-0.00818999999999992,0.000740296723618307,0,2.04166666666667,0.942691456558987,1.44699790736304,1.29126337790209,0.0018,0.000408863390012749,0.318021518101771,0.291263377902088
"relative grid",0.6,0.316227766016838,10,102,0.3125,0.592927061281571,0.2,1024,0.416666666666667,0.52704627669473,0.94314,-0.00685999999999998,0.000732304174506742,0,1.80208333333333,0.943549091758698,1.21201534121008,1.13973757335235,0.00047,0.000388200074694712,0.0830389519487957,0.139737573352353
"relative grid",0.7,0.368932393686311,12,85,0.375,0.711512473537885,0.2,1024,0.416666666666667,0.52704627669473,0.94341,-0.00658999999999998,0.000730667995056579,0,1.67361111111111,0.944008983097673,1.16431211349481,1.05848460569525,2e-04,0.000384188854615487,0.0353357242335301,0.0584846056952493
"relative grid",0.8,0.421637021355784,13,78,0.40625,0.770805179666042,0.2,1024,0.416666666666667,0.52704627669473,0.94339,-0.00661,0.000730789353370724,0,1.63501602564103,0.944147141722375,1.16784568591817,1.03407493038038,0.00022,0.000404229081105628,0.0388692966568831,0.0340749303803811
"relative grid",0.9,0.474341649025257,15,68,0.46875,0.889390591922357,0.2,1024,0.416666666666667,0.52704627669473,0.94369,-0.00630999999999993,0.000728966281113194,0,1.59201388888889,0.9443010762454,1.11484209956786,1.00687799110222,-8e-05,0.000380527770358275,-0.014134289693412,0.00687799110222342
"relative grid",1,0.52704627669473,17,60,0.53125,1.00797600417867,0.2,1024,0.416666666666667,0.52704627669473,0.94361,-0.00639000000000001,0.000729452999856742,0,1.5811887254902,0.94433982702595,1.12897638926129,1.00003155662555,0,0,0,3.15566255517652e-05
"relative grid",1.1,0.579750904364203,19,53,0.59375,1.12656141643499,0.2,1024,0.416666666666667,0.52704627669473,0.94283,-0.00717000000000001,0.000734177029741465,0,1.59237938596491,0.944299767877437,1.26678571377206,1.0071091517499,0.00078,0.000436801813135247,0.137809324510767,0.00710915174989668
