"phi","value","curve","panel"
-0.966554628857381,1.60721680331416,"Variance calibration","Even M"
-0.966471643035863,1.60697860244244,"Variance calibration","Even M"
-0.966388657214345,1.60673946096413,"Variance calibration","Even M"
-0.966305671392827,1.60649938855582,"Variance calibration","Even M"
-0.966222685571309,1.60625839480058,"Variance calibration","Even M"
-0.966139699749792,1.6060164891898,"Variance calibration","Even M"
-0.966056713928274,1.60577368112332,"Variance calibration","Even M"
-0.965973728106756,1.60552997991139,"Variance calibration","Even M"
-0.965890742285238,1.605285394775,"Variance calibration","Even M"
-0.96580775646372,1.6050399348473,"Variance calibration","Even M"
-0.965724770642202,1.60479360917451,"Variance calibration","Even M"
-0.965641784820684,1.60454642671643,"Variance calibration","Even M"
-0.965558798999166,1.60429839634859,"Variance calibration","Even M"
-0.965475813177648,1.60404952686161,"Variance calibration","Even M"
-0.96539282735613,1.60379982696337,"Variance calibration","Even M"
-0.965309841534612,1.60354930527965,"Variance calibration","Even M"
-0.965226855713094,1.60329797035459,"Variance calibration","Even M"
-0.965143869891576,1.60304583065228,"Variance calibration","Even M"
-0.965060884070058,1.60279289455708,"Variance calibration","Even M"
-0.964977898248541,1.60253917037483,"Variance calibration","Even M"
-0.964894912427023,1.60228466633365,"Variance calibration","Even M"
-0.964811926605505,1.60202939058459,"Variance calibration","Even M"
-0.964728940783987,1.60177335120305,"Variance calibration","Even M"
-0.964645954962469,1.6015165561888,"Variance calibration","Even M"
-0.964562969140951,1.60125901346748,"Variance calibration","Even M"
-0.964479983319433,1.60100073089113,"Variance calibration","Even M"
-0.964396997497915,1.60074171623899,"Variance calibration","Even M"
-0.964314011676397,1.60048197721842,"Variance calibration","Even M"
-0.964231025854879,1.60022152146555,"Variance calibration","Even M"
-0.964148040033361,1.59996035654592,"Variance calibration","Even M"
-0.964065054211843,1.5996984899558,"Variance calibration","Even M"
-0.963982068390325,1.59943592912246,"Variance calibration","Even M"
-0.963899082568807,1.59917268140473,"Variance calibration","Even M"
-0.963816096747289,1.59890875409443,"Variance calibration","Even M"
-0.963733110925772,1.59864415441649,"Variance calibration","Even M"
-0.963650125104254,1.59837888952983,"Variance calibration","Even M"
-0.963567139282736,1.59811296652833,"Variance calibration","Even M"
-0.963484153461218,1.59784639244101,"Variance calibration","Even M"
-0.9634011676397,1.59757917423343,"Variance calibration","Even M"
-0.963318181818182,1.5973113188075,"Variance calibration","Even M"
-0.963235195996664,1.597042833003,"Variance calibration","Even M"
-0.963152210175146,1.59677372359757,"Variance calibration","Even M"
-0.963069224353628,1.59650399730782,"Variance calibration","Even M"
-0.96298623853211,1.59623366078962,"Variance calibration","Even M"
-0.962903252710592,1.59596272063933,"Variance calibration","Even M"
-0.962820266889074,1.59569118339352,"Variance calibration","Even M"
-0.962737281067556,1.59541905553046,"Variance calibration","Even M"
-0.962654295246038,1.5951463434702,"Variance calibration","Even M"
-0.962571309424521,1.59487305357548,"Variance calibration","Even M"
-0.962488323603003,1.59459919215206,"Variance calibration","Even M"
-0.962405337781485,1.59432476544956,"Variance calibration","Even M"
-0.962322351959967,1.59404977966191,"Variance calibration","Even M"
-0.962239366138449,1.59377424092809,"Variance calibration","Even M"
-0.962156380316931,1.59349815533229,"Variance calibration","Even M"
-0.962073394495413,1.59322152890497,"Variance calibration","Even M"
-0.961990408673895,1.59294436762323,"Variance calibration","Even M"
-0.961907422852377,1.59266667741114,"Variance calibration","Even M"
-0.961824437030859,1.59238846414056,"Variance calibration","Even M"
-0.961741451209341,1.59210973363182,"Variance calibration","Even M"
-0.961658465387823,1.59183049165364,"Variance calibration","Even M"
-0.961575479566305,1.59155074392432,"Variance calibration","Even M"
-0.961492493744787,1.59127049611192,"Variance calibration","Even M"
-0.961409507923269,1.59098975383472,"Variance calibration","Even M"
-0.961326522101752,1.59070852266189,"Variance calibration","Even M"
-0.961243536280234,1.59042680811407,"Variance calibration","Even M"
-0.961160550458716,1.5901446156635,"Variance calibration","Even M"
-0.961077564637198,1.5898619507349,"Variance calibration","Even M"
