"boundary","parity","x","Q","method","scale","nu","theta_block","theta_bartlett","aG_over_N","bartlett_multiplier","rejection","coverage","mcse","q95","q95_over_chisq","hull_failure","in_4_6_band","reps","seed"
"negative","odd",3,200,"Combined",1.33620705848137,1.34768288464821,-0.0497870683678639,-0.13606306582392,0.00851522735619577,0.991484772643804,0.05105,0.94895,0.00155634021826849,3.88583908765493,1.01155297219945,0,TRUE,20000,2608390
"negative","odd",4,5,"Raw",1,1.194837056761,-0.0183156388887342,-0.103318206249278,0.324846301078582,0.675153698921418,0.15345,0.84655,0.00254855937246908,27.2136320329971,7.0841920487071,0.04795,FALSE,20000,2608391
"negative","odd",4,5,"Variance",1.194837056761,1.194837056761,-0.0183156388887342,-0.103318206249278,0.324846301078582,0.675153698921418,0.17585,0.82415,0.00269190246387197,32.515856002083,8.46445517700685,0.04795,FALSE,20000,2608391
"negative","odd",4,5,"Bartlett",0.675153698921418,1.194837056761,-0.0183156388887342,-0.103318206249278,0.324846301078582,0.675153698921418,0.1115,0.8885,0.00222562069993968,18.3733843281644,4.7829184655543,0.04795,FALSE,20000,2608391
"negative","odd",4,5,"Combined",0.806698658480567,1.194837056761,-0.0183156388887342,-0.103318206249278,0.324846301078582,0.675153698921418,0.1295,0.8705,0.00237412878757661,21.9532004534025,5.71480822211072,0.04795,FALSE,20000,2608391
"negative","odd",4,6,"Raw",1,1.20439575333511,-0.0183156388887342,-0.103318206249278,0.271258778817854,0.728741221182146,0.1221,0.8779,0.00231507656460861,9.25317483391374,2.40876585323951,0.01955,FALSE,20000,2608392
"negative","odd",4,6,"Variance",1.20439575333511,1.20439575333511,-0.0183156388887342,-0.103318206249278,0.271258778817854,0.728741221182146,0.1463,0.8537,0.00249896288487845,11.1444844748331,2.90110736442031,0.01955,FALSE,20000,2608392
"negative","odd",4,6,"Bartlett",0.728741221182146,1.20439575333511,-0.0183156388887342,-0.103318206249278,0.271258778817854,0.728741221182146,0.09075,0.90925,0.00203118730672481,6.7431699282782,1.75536696943162,0.01955,FALSE,20000,2608392
"negative","odd",4,6,"Combined",0.877692832072023,1.20439575333511,-0.0183156388887342,-0.103318206249278,0.271258778817854,0.728741221182146,0.1081,0.8919,0.00219561369553025,8.12144522563532,2.11415652352817,0.01955,FALSE,20000,2608392
"negative","odd",4,8,"Raw",1,1.21656136700333,-0.0183156388887342,-0.103318206249278,0.203963016530892,0.796036983469108,0.0892,0.9108,0.00201548207632814,5.80628412912064,1.51147894592593,0.00485,FALSE,20000,2608393
"negative","odd",4,8,"Variance",1.21656136700333,1.21656136700333,-0.0183156388887342,-0.103318206249278,0.203963016530892,0.796036983469108,0.1149,0.8851,0.00225497217277731,7.06370095733274,1.83880689265241,0.00485,FALSE,20000,2608393
"negative","odd",4,8,"Bartlett",0.796036983469108,1.21656136700333,-0.0183156388887342,-0.103318206249278,0.203963016530892,0.796036983469108,0.06485,0.93515,0.00174132819278848,4.62201690330975,1.20319314069195,0.00485,FALSE,20000,2608393
"negative","odd",4,8,"Combined",0.968427840794386,1.21656136700333,-0.0183156388887342,-0.103318206249278,0.203963016530892,0.796036983469108,0.0856,0.9144,0.00197829017082935,5.62296720220301,1.46375829200923,0.00485,FALSE,20000,2608393
"negative","odd",4,10,"Raw",1,1.2239794241192,-0.0183156388887342,-0.103318206249278,0.163419500785152,0.836580499214848,0.0735,0.9265,0.00184523372503323,4.86095858283041,1.26539390625358,7e-04,FALSE,20000,2608394
"negative","odd",4,10,"Variance",1.2239794241192,1.2239794241192,-0.0183156388887342,-0.103318206249278,0.163419500785152,0.836580499214848,0.096,0.904,0.00208307465060665,5.94971328688006,1.54881610466021,7e-04,FALSE,20000,2608394
"negative","odd",4,10,"Bartlett",0.836580499214848,1.2239794241192,-0.0183156388887342,-0.103318206249278,0.163419500785152,0.836580499214848,0.0549,0.9451,0.00161068292969163,4.06658315788696,1.05860386579705,7e-04,TRUE,20000,2608394
"negative","odd",4,10,"Combined",1.02395731765835,1.2239794241192,-0.0183156388887342,-0.103318206249278,0.163419500785152,0.836580499214848,0.0759,0.9241,0.00187268777429661,4.97741411172334,1.29570935002863,7e-04,FALSE,20000,2608394
"negative","odd",4,15,"Raw",1,1.23401204234969,-0.0183156388887342,-0.103318206249278,0.109167745021602,0.890832254978398,0.05205,0.94795,0.00157068134101096,3.89005034379463,1.01264923701349,5e-05,TRUE,20000,2608395
"negative","odd",4,15,"Variance",1.23401204234969,1.23401204234969,-0.0183156388887342,-0.103318206249278,0.109167745021602,0.890832254978398,0.0757,0.9243,0.00187042120924673,4.80036896958913,1.24962135315087,5e-05,FALSE,20000,2608395
"negative","odd",4,15,"Bartlett",0.890832254978398,1.23401204234969,-0.0183156388887342,-0.103318206249278,0.109167745021602,0.890832254978398,0.04045,0.95955,0.00139308645639817,3.46538231974207,0.902100603310879,5e-05,TRUE,20000,2608395
"negative","odd",4,15,"Combined",1.09929773035687,1.23401204234969,-0.0183156388887342,-0.103318206249278,0.109167745021602,0.890832254978398,0.062,0.938,0.00170522725758182,4.27632351390741,1.11320300789654,5e-05,FALSE,20000,2608395
"negative","odd",4,20,"Raw",1,1.23909028120709,-0.0183156388887342,-0.103318206249278,0.081958837953014,0.918041162046986,0.0439,0.9561,0.00144866818146876,3.60738483146198,0.939066380727244,0,TRUE,20000,2608396
"negative","odd",4,20,"Variance",1.23909028120709,1.23909028120709,-0.0183156388887342,-0.103318206249278,0.081958837953014,0.918041162046986,0.0673,0.9327,0.00177159123389116,4.46987548523843,1.16358802576745,0,FALSE,20000,2608396
"negative","odd",4,20,"Bartlett",0.918041162046986,1.23909028120709,-0.0183156388887342,-0.103318206249278,0.081958837953014,0.918041162046986,0.0372,0.9628,0.00133821074573477,3.31172776262602,0.862101591402096,0,FALSE,20000,2608396
"negative","odd",4,20,"Combined",1.13753588164049,1.23909028120709,-0.0183156388887342,-0.103318206249278,0.081958837953014,0.918041162046986,0.05705,0.94295,0.00164005026599797,4.10352968467362,1.06822170331951,0,TRUE,20000,2608396
"negative","odd",4,30,"Raw",1,1.24421048898068,-0.0183156388887342,-0.103318206249278,0.0546945780932179,0.945305421906782,0.03845,0.96155,0.00135962490231681,3.40562756611819,0.88654537900339,0,FALSE,20000,2608397
"negative","odd",4,30,"Variance",1.24421048898068,1.24421048898068,-0.0183156388887342,-0.103318206249278,0.0546945780932179,0.945305421906782,0.0606,0.9394,0.00168712240219849,4.23731753932599,1.10304905951337,0,FALSE,20000,2608397
"negative","odd",4,30,"Bartlett",0.945305421906782,1.24421048898068,-0.0183156388887342,-0.103318206249278,0.0546945780932179,0.945305421906782,0.0334,0.9666,0.00127052036583441,3.21935820324672,0.838056153538308,0,FALSE,20000,2608397
"negative","odd",4,30,"Combined",1.17615892122672,1.24421048898068,-0.0183156388887342,-0.103318206249278,0.0546945780932179,0.945305421906782,0.0547,0.9453,0.00160791650902651,4.00555924426556,1.04271825658716,0,TRUE,20000,2608397
"negative","odd",4,50,"Raw",1,1.24833722360416,-0.0183156388887342,-0.103318206249278,0.0328433161957108,0.967156683804289,0.0326,0.9674,0.00125573165923297,3.20384597250312,0.834018044198169,0,FALSE,20000,2608398
"negative","odd",4,50,"Variance",1.24833722360416,1.24833722360416,-0.0183156388887342,-0.103318206249278,0.0328433161957108,0.967156683804289,0.05535,0.94465,0.00161688554789756,3.99948018616992,1.04113576973012,0,TRUE,20000,2608398
"negative","odd",4,50,"Bartlett",0.967156683804289,1.24833722360416,-0.0183156388887342,-0.103318206249278,0.0328433161957108,0.967156683804289,0.02985,0.97015,0.0012033074731755,3.09862104618584,0.80662612585964,0,FALSE,20000,2608398
"negative","odd",4,50,"Combined",1.20733768945046,1.24833722360416,-0.0183156388887342,-0.103318206249278,0.0328433161957108,0.967156683804289,0.05045,0.94955,0.00154765625220848,3.86812399379706,1.00694141844221,0,TRUE,20000,2608398
"negative","odd",4,100,"Raw",1,1.25145028401215,-0.0183156388887342,-0.103318206249278,0.0164316216002729,0.983568378399727,0.0285,0.9715,0.0011765999745028,3.02423336759432,0.787261691132189,0,FALSE,20000,2608399
"negative","odd",4,100,"Variance",1.25145028401215,1.25145028401215,-0.0183156388887342,-0.103318206249278,0.0164316216002729,0.983568378399727,0.0487,0.9513,0.00152197749654849,3.78467770679494,0.985218866959266,0,TRUE,20000,2608399
"negative","odd",4,100,"Bartlett",0.983568378399727,1.25145028401215,-0.0183156388887342,-0.103318206249278,0.0164316216002729,0.983568378399727,0.02705,0.97295,0.00114713332921679,2.97454030926709,0.774325704923114,0,FALSE,20000,2608399
"negative","odd",4,100,"Combined",1.23088692649371,1.25145028401215,-0.0183156388887342,-0.103318206249278,0.0164316216002729,0.983568378399727,0.0469,0.9531,0.00149499816053399,3.7224893148379,0.969030123343942,0,TRUE,20000,2608399
"negative","odd",4,200,"Raw",1,1.25301264391729,-0.0183156388887342,-0.103318206249278,0.00821830167574085,0.991781698324259,0.0271,0.9729,0.00114816353364841,3.02606197105332,0.787737709109824,0,FALSE,20000,2608400
"negative","odd",4,200,"Variance",1.25301264391729,1.25301264391729,-0.0183156388887342,-0.103318206249278,0.00821830167574085,0.991781698324259,0.04775,0.95225,0.00150781194948176,3.79169391100707,0.987045309605047,0,TRUE,20000,2608400
"negative","odd",4,200,"Bartlett",0.991781698324259,1.25301264391729,-0.0183156388887342,-0.103318206249278,0.00821830167574085,0.991781698324259,0.0261,0.9739,0.00112735952561727,3.00119288088571,0.781263842975002,0,FALSE,20000,2608400
"negative","odd",4,200,"Combined",1.24271500800606,1.25301264391729,-0.0183156388887342,-0.103318206249278,0.00821830167574085,0.991781698324259,0.04695,0.95305,0.0014957556200797,3.76053262658435,0.978933473483088,0,TRUE,20000,2608400
"negative","odd",6,5,"Raw",1,1.12943205680268,-0.00247875217666636,-0.0717577078154861,0.315579259034144,0.684420740965856,0.1612,0.8388,0.00260013999623097,Inf,Inf,0.05025,FALSE,20000,2608401
"negative","odd",6,5,"Variance",1.12943205680268,1.12943205680268,-0.00247875217666636,-0.0717577078154861,0.315579259034144,0.684420740965856,0.17735,0.82265,0.00270089779055039,Inf,Inf,0.05025,FALSE,20000,2608401
"negative","odd",6,5,"Bartlett",0.684420740965856,1.12943205680268,-0.00247875217666636,-0.0717577078154861,0.315579259034144,0.684420740965856,0.1192,0.8808,0.00229119357540999,Inf,Inf,0.05025,FALSE,20000,2608401
"negative","odd",6,5,"Combined",0.773006725187484,1.12943205680268,-0.00247875217666636,-0.0717577078154861,0.315579259034144,0.684420740965856,0.13155,0.86845,0.00239002717034765,Inf,Inf,0.05025,FALSE,20000,2608401
"negative","odd",6,6,"Raw",1,1.13553709494757,-0.00247875217666636,-0.0717577078154861,0.263379400789522,0.736620599210478,0.13515,0.86485,0.00241748296271142,11.0718850268955,2.88220843791184,0.02495,FALSE,20000,2608402
"negative","odd",6,6,"Variance",1.13553709494757,1.13553709494757,-0.00247875217666636,-0.0717577078154861,0.263379400789522,0.736620599210478,0.15195,0.84805,0.00253831831632678,12.5725361590343,3.27285459661977,0.02495,FALSE,20000,2608402
"negative","odd",6,6,"Bartlett",0.736620599210478,1.13553709494757,-0.00247875217666636,-0.0717577078154861,0.263379400789522,0.736620599210478,0.09975,0.90025,0.00211896127265224,8.15577858290124,2.12309410658411,0.02495,FALSE,20000,2608402
"negative","odd",6,6,"Combined",0.836460015306002,1.13553709494757,-0.00247875217666636,-0.0717577078154861,0.263379400789522,0.736620599210478,0.1136,0.8864,0.00224382530514298,9.26118911906327,2.41085211409082,0.02495,FALSE,20000,2608402
"negative","odd",6,8,"Raw",1,1.14326183709007,-0.00247875217666636,-0.0717577078154861,0.197906442711894,0.802093557288106,0.0958,0.9042,0.00208113382558643,6.09888158829501,1.58764726448193,0.00525,FALSE,20000,2608403
"negative","odd",6,8,"Variance",1.14326183709007,1.14326183709007,-0.00247875217666636,-0.0717577078154861,0.197906442711894,0.802093557288106,0.11425,0.88575,0.00224941033940008,6.97261856882895,1.81509652824263,0.00525,FALSE,20000,2608403
"negative","odd",6,8,"Bartlett",0.802093557288106,1.14326183709007,-0.00247875217666636,-0.0717577078154861,0.197906442711894,0.802093557288106,0.07125,0.92875,0.00181897550148428,4.89187362863448,1.27344164208704,0.00525,FALSE,20000,2608403
"negative","odd",6,8,"Combined",0.917002953823308,1.14326183709007,-0.00247875217666636,-0.0717577078154861,0.197906442711894,0.802093557288106,0.0854,0.9146,0.00197619381640567,5.59269243148511,1.45587723115943,0.00525,FALSE,20000,2608403
"negative","odd",6,10,"Raw",1,1.1479473364224,-0.00247875217666636,-0.0717577078154861,0.158503662386996,0.841496337613004,0.07985,0.92015,0.00191668956145746,5.13127408655825,1.33576183582024,0.0015,FALSE,20000,2608404
"negative","odd",6,10,"Variance",1.1479473364224,1.1479473364224,-0.00247875217666636,-0.0717577078154861,0.158503662386996,0.841496337613004,0.0968,0.9032,0.00209081036921094,5.89043242011785,1.53338424152455,0.0015,FALSE,20000,2608404
"negative","odd",6,10,"Bartlett",0.841496337613004,1.1479473364224,-0.00247875217666636,-0.0717577078154861,0.158503662386996,0.841496337613004,0.0601,0.9399,0.00168059498392682,4.31794835112728,1.12403869276596,0.0015,FALSE,20000,2608404
"negative","odd",6,10,"Combined",0.965993479372056,1.1479473364224,-0.00247875217666636,-0.0717577078154861,0.158503662386996,0.841496337613004,0.07575,0.92425,0.00187098820814029,4.95677730848607,1.2903372233964,0.0015,FALSE,20000,2608404
