"design_id","scenario_id","innovation","innovation_label","assumption_status","phi","phi_label","N","M","Q","L","B_point","burn_in","b_true","mean_b_hat","bias_b_hat","rmse_b_hat","nu_true","mean_nu_hat","bias_nu_hat","rmse_nu_hat","sigma_nonpositive_rate","truncation_rate","convex_failure_rate"
"gaussian_phi095_N64_M16_Q4","gaussian_phi095_N64","gaussian","Gaussian","inside formal moment assumptions",0.95,"phi = 0.95",64,16,4,5,100000,0,19.4871794871795,2.45190433741652,-17.035275149763,17.0366634013807,0.449972693449774,0.880449881445082,0.430477187995307,0.430615025081596,0,0,0.35118
"gaussian_phi000_N729_M9_Q81","gaussian_phi000_N729","gaussian","Gaussian","inside formal moment assumptions",0,"phi = 0.00",729,9,81,4,100000,0,0,-0.0547163296161297,-0.0547163296161297,0.43405771428352,1,1.00597619401989,0.00597619401989191,0.0475995258296476,0,0,0
"gaussian_phi000_N729_M27_Q27","gaussian_phi000_N729","gaussian","Gaussian","inside formal moment assumptions",0,"phi = 0.00",729,27,27,12,100000,0,0,-0.472301503955603,-0.472301503955603,2.31273463348633,1,1.01658470535515,0.0165847053551522,0.0819774796026211,0,0.00266,0
"gaussian_phi000_N729_M81_Q9","gaussian_phi000_N729","gaussian","Gaussian","inside formal moment assumptions",0,"phi = 0.00",729,81,9,12,100000,0,0,-0.472301503955603,-0.472301503955603,2.31273463348633,1,1.00510298626312,0.005102986263124,0.0252238398777296,0,0.00266,0.00424
"gaussian_phi005_N729_M9_Q81","gaussian_phi005_N729","gaussian","Gaussian","inside formal moment assumptions",0.05,"phi = 0.05",729,9,81,4,100000,0,0.100250626566416,0.0449131267148064,-0.0553374998516097,0.409081797863184,0.988997046394663,0.995046233774245,0.00604918737958127,0.0448753980559234,0,1e-05,0
"gaussian_phi005_N729_M27_Q27","gaussian_phi005_N729","gaussian","Gaussian","inside formal moment assumptions",0.05,"phi = 0.05",729,27,27,12,100000,0,0.100250626566416,-0.359246697379092,-0.459497323945508,2.24528529974713,0.996424040078258,1.01257138750703,0.0161473474287717,0.0796241939891212,0,0.00219,0
"gaussian_phi005_N729_M81_Q9","gaussian_phi005_N729","gaussian","Gaussian","inside formal moment assumptions",0.05,"phi = 0.05",729,81,9,12,100000,0,0.100250626566416,-0.359246697379092,-0.459497323945508,2.24528529974713,0.998899704639464,1.00386811923293,0.00496841459346753,0.0244997519966527,0,0.00219,0.00375
"gaussian_phi010_N729_M9_Q81","gaussian_phi010_N729","gaussian","Gaussian","inside formal moment assumptions",0.1,"phi = 0.10",729,9,81,4,100000,0,0.202020202020202,0.152690575851428,-0.0493296261687745,0.379039487790138,0.977824285202145,0.983219056386714,0.00539477118456855,0.04159372200957,0,0,0
"gaussian_phi010_N729_M27_Q27","gaussian_phi010_N729","gaussian","Gaussian","inside formal moment assumptions",0.1,"phi = 0.10",729,27,27,12,100000,0,0.202020202020202,-0.243728709370022,-0.445748911390224,2.18730111657654,0.9927928926834,1.00846658127298,0.0156736885895791,0.0775999400103574,0,0.00174,0
"gaussian_phi010_N729_M81_Q9","gaussian_phi010_N729","gaussian","Gaussian","inside formal moment assumptions",0.1,"phi = 0.10",729,81,9,12,100000,0,0.202020202020202,-0.243728709370022,-0.445748911390224,2.18730111657654,0.997782428517969,1.00260510193015,0.00482267341217812,0.0238769046185715,0,0.00174,0.00394
