"scenario_id","innovation","module","panel","series","regime","regime_label","phi","N","M","Q","x_order","alpha_nominal","C_nominal","note","innovation_label","dist_code","skewness","excess_kurtosis","assumption_status","severity_group","phi_label","N_label","design_id","alpha_effective","L","seed"
"gaussian_phi075_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0.75,64,16,4,0.75,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.75","N = 64","gaussian_phi075_N64_M16_Q4",0.666666666666667,5,17620649
"gaussian_phi080_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0.8,64,4,16,0.8,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.80","N = 64","gaussian_phi080_N64_M4_Q16",0.333333333333333,2,22624149
"gaussian_phi080_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0.8,64,8,8,0.8,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.80","N = 64","gaussian_phi080_N64_M8_Q8",0.5,4,22624149
"gaussian_phi080_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0.8,64,16,4,0.8,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.80","N = 64","gaussian_phi080_N64_M16_Q4",0.666666666666667,5,22624149
"gaussian_phi085_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0.85,64,4,16,0.85,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.85","N = 64","gaussian_phi085_N64_M4_Q16",0.333333333333333,2,27627649
"gaussian_phi085_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0.85,64,8,8,0.85,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.85","N = 64","gaussian_phi085_N64_M8_Q8",0.5,4,27627649
"gaussian_phi085_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0.85,64,16,4,0.85,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.85","N = 64","gaussian_phi085_N64_M16_Q4",0.666666666666667,5,27627649
"gaussian_phi090_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0.9,64,4,16,0.9,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.90","N = 64","gaussian_phi090_N64_M4_Q16",0.333333333333333,2,32631149
"gaussian_phi090_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0.9,64,8,8,0.9,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.90","N = 64","gaussian_phi090_N64_M8_Q8",0.5,4,32631149
"gaussian_phi090_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0.9,64,16,4,0.9,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.90","N = 64","gaussian_phi090_N64_M16_Q4",0.666666666666667,5,32631149
"gaussian_phi095_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0.95,64,4,16,0.95,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.95","N = 64","gaussian_phi095_N64_M4_Q16",0.333333333333333,2,37634649
"gaussian_phi095_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0.95,64,8,8,0.95,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.95","N = 64","gaussian_phi095_N64_M8_Q8",0.5,4,37634649
"gaussian_phi095_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0.95,64,16,4,0.95,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.95","N = 64","gaussian_phi095_N64_M16_Q4",0.666666666666667,5,37634649
"gaussian_phi000_N729","gaussian","phi_grid_three_regimes","N_729","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0,729,9,81,0,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.00","N = 729","gaussian_phi000_N729_M9_Q81",0.333333333333333,4,607570144
"gaussian_phi000_N729","gaussian","phi_grid_three_regimes","N_729","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0,729,27,27,0,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.00","N = 729","gaussian_phi000_N729_M27_Q27",0.5,12,607570144
"gaussian_phi000_N729","gaussian","phi_grid_three_regimes","N_729","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0,729,81,9,0,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.00","N = 729","gaussian_phi000_N729_M81_Q9",0.666666666666667,12,607570144
"gaussian_phi005_N729","gaussian","phi_grid_three_regimes","N_729","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0.05,729,9,81,0.05,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.05","N = 729","gaussian_phi005_N729_M9_Q81",0.333333333333333,4,612573644
"gaussian_phi005_N729","gaussian","phi_grid_three_regimes","N_729","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0.05,729,27,27,0.05,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.05","N = 729","gaussian_phi005_N729_M27_Q27",0.5,12,612573644
"gaussian_phi005_N729","gaussian","phi_grid_three_regimes","N_729","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0.05,729,81,9,0.05,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.05","N = 729","gaussian_phi005_N729_M81_Q9",0.666666666666667,12,612573644
"gaussian_phi010_N729","gaussian","phi_grid_three_regimes","N_729","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0.1,729,9,81,0.1,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.10","N = 729","gaussian_phi010_N729_M9_Q81",0.333333333333333,4,617577144
"gaussian_phi010_N729","gaussian","phi_grid_three_regimes","N_729","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0.1,729,27,27,0.1,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.10","N = 729","gaussian_phi010_N729_M27_Q27",0.5,12,617577144
"gaussian_phi010_N729","gaussian","phi_grid_three_regimes","N_729","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0.1,729,81,9,0.1,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.10","N = 729","gaussian_phi010_N729_M81_Q9",0.666666666666667,12,617577144
"gaussian_phi015_N729","gaussian","phi_grid_three_regimes","N_729","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0.15,729,9,81,0.15,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.15","N = 729","gaussian_phi015_N729_M9_Q81",0.333333333333333,4,622580644
"gaussian_phi015_N729","gaussian","phi_grid_three_regimes","N_729","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0.15,729,27,27,0.15,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.15","N = 729","gaussian_phi015_N729_M27_Q27",0.5,12,622580644
"gaussian_phi015_N729","gaussian","phi_grid_three_regimes","N_729","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0.15,729,81,9,0.15,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.15","N = 729","gaussian_phi015_N729_M81_Q9",0.666666666666667,12,622580644
"gaussian_phi020_N729","gaussian","phi_grid_three_regimes","N_729","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0.2,729,9,81,0.2,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.20","N = 729","gaussian_phi020_N729_M9_Q81",0.333333333333333,4,627584144
"gaussian_phi020_N729","gaussian","phi_grid_three_regimes","N_729","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0.2,729,27,27,0.2,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.20","N = 729","gaussian_phi020_N729_M27_Q27",0.5,12,627584144
"gaussian_phi020_N729","gaussian","phi_grid_three_regimes","N_729","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0.2,729,81,9,0.2,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.20","N = 729","gaussian_phi020_N729_M81_Q9",0.666666666666667,12,627584144
